,LipSync,,,,,,,Total filament (g),,,Unit Cost,Total Cost,Total Print time (hr),,,,,,,,,,,,,,,,,,,
J4,Qwiic Adapter Board,Sparkfun Qwiic Adapter,Hub,SparkFun Electronics,SparkFun,DEV014495,1,1,1,, $-   , $-   ,,https://www.sparkfun.com/products/14495,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,, $-   , $-   ,,,,,,,,,,,,,,,,,,,,
,Syringe Filter,Filter,Mouthpiece Consumable,REKORI,Amazon,,6,100,1,43.31, $2.60 , $43.31 ,,https://www.amazon.ca/Hydrophobic-Membrane-Filtration-Non-Sterile-Injection/dp/B0B9X33SHM/ref=sr_1_13?crid=1YCX56KYUE8DS&keywords=hydrophobic+syringe+filter&qid=1706894901&sprefix=hydrophobic+syringe+filt%2Caps%2C153&sr=8-13,,,,,,,,,,,,,,,,,,
,Silicone Straw,Mouthpiece Tip,Mouthpiece Consumable,LIFNY,Amazon,,2,12,1,13.99, $2.33 , $13.99 ,,https://www.amazon.ca/Reusable-Silicone-Drinking-Approved-Tumblers/dp/B07PZTWW55/ref=sr_1_5?crid=3FWUMQYEWHMAZ&keywords=silicone%2Bstraw&qid=1706896605&sprefix=silicone%2Bstraw%2Caps%2C169&sr=8-5&th=1,,,,,,,,,,,,,,,,,,
,Female Luer Lock 1/4 Inch Luer Lock Connector Kit to Syringe Coupler Adapter,Mouthpiece Tip Adapter,Mouthpiece Consumable,MycologyLids ,Amazon,,5,10,1,20.27, $10.14 , $20.27 ,,https://www.amazon.ca/Female-Connector-6-4mm-Tubing-Adapter/dp/B0D7TW5R71,,,,,,,,,,,,,,,,,,
,Silicone Tube,Silicone Tube,Mouthpiece Consumable,Kingsrey,Amazon,,3,500,1,16.36, $0.10 , $16.36 ,,https://www.amazon.ca/Silicone-Thickness-Flexible-Transfer-Engraving/dp/B07X5VYDZK/ref=sr_1_4_sspa?crid=3V3Z40PDR2RQK&keywords=silicone+tube+2mm+id+4mm+od&qid=1706895064&sprefix=silicone+tub+2mm+id+4mm+od%2Caps%2C141&sr=8-4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,,,,,,,,,,,,,,,,,,
,"Male Luer lock x 1/8"" Barb",Luer Lock connectors,Mouthpiece Consumable,RSN,Amazon,,1,10,1,12.31, $1.23 , $12.31 ,,https://www.amazon.ca/RSN-Lab-3-2Mm-Adapter-Black/dp/B08414Q7JK/ref=sr_1_20?crid=3R6FQVIF9TFFJ&keywords=male+luer+connector&qid=1706896948&sprefix=male+luer+connector%2Caps%2C143&sr=8-20,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,, $-   , $-   ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,, $-   , $-   ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
